time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.5,1001,0.546957,0.600064,0.722091,0,0.0981307
0.6,1002,0.581861,0.640872,0.675059,0,0.0981307
0.7,1003,0.592661,0.649944,0.663995,0,0.0981307
0.8,1004,0.576629,0.647128,0.653675,0,0.0981307
0.9,1005,0.571717,0.649488,0.659147,0,0.0981307
1,1006,0.584269,0.651992,0.659147,0,0.0981307
1.1,1007,0.575157,0.658088,0.659139,0,0.0981307
1.2,1008,0.574525,0.658392,0.662379,0,0.0981307
1.3,1009,0.587501,0.657936,0.659147,0,0.0981307
1.4,1010,0.576613,0.65556,0.664651,0,0.0981307
1.5,1011,0.575765,0.658088,0.662363,0,0.0981307
1.6,1012,0.580245,0.655592,0.659147,0,0.0981307
1.7,1013,0.575157,0.656176,0.659147,0,0.0981307
1.8,1014,0.581773,0.658088,0.659155,0,0.0981307
1.9,1015,0.580253,0.655592,0.659155,0,0.0981307
2,1016,0.581773,0.665296,0.659123,0,0.0981307
2.1,1017,0.570597,0.648184,0.667843,0,0.0981307
2.2,1018,0.580261,0.656344,0.659123,0,0.0981307
2.3,1019,0.580293,0.660152,0.659123,0,0.0981307
2.4,1020,0.582957,0.66072,0.659131,0,0.0981307
2.5,1021,0.570557,0.65276,0.659131,0,0.0981307
2.6,1022,0.567469,0.659576,0.662347,0,0.0981307
2.7,1023,0.563837,0.66208,0.659123,0,0.0981307
2.8,1024,0.556277,0.654232,0.664627,0,0.0981307
2.9,1025,0.567453,0.64956,0.662339,0,0.0981307
3,1026,0.544605,0.658088,0.659123,0,0.0981307
3.1,1027,0.569109,0.666768,0.659131,0,0.0981307
3.2,1028,0.552173,0.65276,0.659131,0,0.0981307
3.3,1029,0.554245,0.656344,0.659131,0,0.0981307
3.4,1030,0.555813,0.665296,0.659123,0,0.0981307
3.5,1031,0.552197,0.655576,0.667843,0,0.0981307
3.6,1032,0.552741,0.648216,0.659123,0,0.0981307
